song,title,artist,mbid,type,confidence,matched
See You Again SATB混声合唱谱.txt,See You Again SATB混声合唱谱,,,work,,
一荤一素二声部合唱谱.txt,一荤一素二声部合唱谱,,,work,,
丰收中国年【混声合唱】了.txt,丰收中国年【混声合唱】了,朱 海 词 子 山 曲 弦声编配,,work,,
丰收中国年（混声合唱）.txt,丰收中国年（混声合唱）,朱 海 词 子 山 曲 弦声编配,,work,,
儿时二部合唱.txt,儿时二部合唱,,,work,,
光芒二部合唱.txt,光芒二部合唱,,,work,,
再唱洪湖水（混声合唱）.txt,再唱洪湖水（混声合唱）,,,work,,
南屏晚钟 合唱.txt,南屏晚钟 合唱,陈蝶衣 王福龄,,work,,
南湖的船党的摇篮合唱谱.txt,南湖的船党的摇篮合唱谱,,,work,,
城市之光（ 、 合唱）（美声通俗）.txt,城市之光（ 、 合唱）（美声通俗）,徐霞 李健,,work,,
天河热土 二声部合唱谱.txt,天河热土 二声部合唱谱,,,work,,
好想爱这个世界啊 三声部合唱.txt,好想爱这个世界啊 三声部合唱,,,work,,
小孩子大梦想二部合唱谱.txt,小孩子大梦想二部合唱谱,,,work,,
我们是运河的流水（女声合唱）.txt,我们是运河的流水（女声合唱）,,,work,,
打起手鼓唱起歌（混声合唱）.txt,打起手鼓唱起歌（混声合唱）,,,work,,
明天女声合唱谱.txt,明天女声合唱谱,,,work,,
枕着光的她.txt,枕着光的她,,,work,,
枕着光的她合唱.txt,枕着光的她合唱,,,work,,
海阔天空 混声四部合唱谱.txt,海阔天空 混声四部合唱谱,,,work,,
爱就一个字二部合唱谱.txt,爱就一个字二部合唱谱,,,work,,
璀璨冒险人二声部合唱.txt,璀璨冒险人二声部合唱,,,work,,
盼星星盼月亮(合唱版).txt,盼星星盼月亮(合唱版),徐子崴 罗姣,,work,,
种星星的人合唱谱.txt,种星星的人合唱谱,,,work,,
美丽草原我的家－无伴奏合唱.txt,美丽草原我的家－无伴奏合唱,薄子新改编,,work,,
老师我想你（合唱版）.txt,老师我想你（合唱版）,王莹,,work,,
花开忘忧合唱 珠海童年树合唱团.txt,花开忘忧合唱 珠海童年树合唱团,,,work,,
花开种花家合唱.txt,花开种花家合唱,,,work,,
西伯来奴隶合唱.txt,西伯来奴隶合唱,,,work,,
锦瑟混声四部合唱谱.txt,锦瑟混声四部合唱谱,,,work,,
