song,status,info
See You Again SATB混声合唱谱,skip,
一荤一素二声部合唱谱,ok,"images=1, MBID=缺, conf=-, key=?, time=4/4 [MBID 为空: 进 parse_scores.py 前必须补]"
丰收中国年【混声合唱】了,skip,
丰收中国年（混声合唱）,skip,
丰收中国年（混声合唱）,skip,
儿时二部合唱,skip,
光芒二部合唱,skip,
再唱洪湖水（混声合唱）,skip,
南屏晚钟 合唱,skip,
南湖的船党的摇篮合唱谱,skip,
城市之光（ 、 合唱）（美声通俗）,skip,
天河热土 二声部合唱谱,skip,
好想爱这个世界啊 三声部合唱,skip,
小孩子大梦想二部合唱谱,skip,
我们是运河的流水（女声合唱）,ok,"images=2, MBID=缺, conf=-, key=?, time=4/4 [MBID 为空: 进 parse_scores.py 前必须补]"
打起手鼓唱起歌（混声合唱）,skip,
明天女声合唱谱,skip,
枕着光的她,ok,"images=1, MBID=缺, conf=-, key=?, time=4/4 [MBID 为空: 进 parse_scores.py 前必须补]"
枕着光的她合唱,skip,
海阔天空 混声四部合唱谱,skip,
爱就一个字二部合唱谱,ok,"images=1, MBID=缺, conf=-, key=?, time=4/4 [MBID 为空: 进 parse_scores.py 前必须补]"
璀璨冒险人二声部合唱,ok,"images=1, MBID=缺, conf=-, key=?, time=4/4 [MBID 为空: 进 parse_scores.py 前必须补]"
盼星星盼月亮(合唱版),skip,
种星星的人合唱谱,skip,
美丽草原我的家－无伴奏合唱,skip,
老师我想你（合唱版）,skip,
花开忘忧合唱 珠海童年树合唱团,skip,
花开种花家合唱,skip,
西伯来奴隶合唱,skip,
锦瑟混声四部合唱谱,skip,
