song,title,artist,mbid,type,confidence,matched
一字诗.txt,一字诗,银河少年艺术团,,work,,
一闪一闪亮晶晶.txt,一闪一闪亮晶晶,,13b2a959-decc-445a-a374-e4910f21908a,work,mbid-file,
七步诗.txt,七步诗,小海龟演唱组,b0b07058-e04c-47dc-a748-4b65a100d9e7,work,已有,
七色光之歌.txt,七色光之歌,,2eaa623e-8608-4dae-99fe-fcf67e93ecb5,work,已有,
三字经.txt,三字经,金帆合唱团,5c6935fe-f841-4445-8a9b-63b49f5b33ca,work,已有,
上学歌.txt,上学歌,,e97940b2-599e-4c92-acfd-f9fa80cb254f,work,已有,
九儿.txt,九儿,胡莎莎,660537a3-0cff-4614-881e-156f77fa2acb,work,已有,
乡间的小路.txt,乡间的小路,卓依婷,4c2c85e7-b7a1-49ac-87a1-645f081f748e,work,已有,
儿歌.txt,儿歌,,b67c82be-8a36-4aca-b8b6-ac79636dd5f3,work,已有,
元日.txt,元日,银河少年艺术团,0eaad172-21f8-4435-b1e6-fbfdd3400d8e,work,已有,
兰花草.txt,兰花草,谢玲玲,ddb4a948-0ec1-410c-ada1-306828be28bf,work,已有,
出塞.txt,出塞,小海龟演唱组,addc6e0a-70ba-48a1-aa13-5dc1df7900a0,work,已有,
别看我只是只羊.txt,别看我只是只羊,,,work,,
卖报歌.txt,卖报歌,,5bf98c64-bd4c-48a4-a7a8-55d8ad833b6f,work,已有,
叶儿船.txt,叶儿船,演唱,,work,,
听妈妈讲那过去的事情.txt,听妈妈讲那过去的事情,,60b85a87-7b72-48d6-a363-ec640a31a6e7,work,已有,
咏鹅.txt,咏鹅,银河少年艺术团,,work,,
嘀哩嘀哩.txt,嘀哩嘀哩,,23351ef2-f036-48ce-96cf-e904af6b9104,work,已有,
增广贤文.txt,增广贤文,小海龟演唱组,,work,,
声律启蒙.txt,声律启蒙,小海龟演唱组,,work,,
外婆的澎湖湾.txt,外婆的澎湖湾,卓依婷,7431dd14-20a7-4320-8ea6-363c0ddba101,work,已有,
多情的月光.txt,多情的月光,正月十五,,work,,
大风车.txt,大风车,,bcfc3429-78eb-4e20-9c1a-f6f69bffd861,work,已有,
女儿歌.txt,女儿歌,冯健雪,e6aa36d2-2b8a-4d6a-a65c-7fed318307ef,work,已有,
妈妈的吻.txt,妈妈的吻,蓓蕾组合,13bea870-204a-401b-879c-276a2cd01e5c,work,已有,
学习雷锋好榜样.txt,学习雷锋好榜样,,3d780683-f269-4d2a-b529-2a3bd7add728,work,已有,
宝贝宝贝.txt,宝贝宝贝,,,work,,
寻胡隐君.txt,寻胡隐君,小海龟演唱组,,work,,
小儿语.txt,小儿语,小海龟演唱组,,work,,
小兔子乖乖.txt,小兔子乖乖,,4220256e-ca4a-4442-9ecd-609f998b04ce,work,已有,
小小少年.txt,小小少年,,9b777ea6-7391-4f9c-8b03-253790c1a5f4,work,已有,
小小雨点.txt,小小雨点,少儿,,work,,
小星星.txt,小星星,,637ef43a-f709-4226-b4e0-f6dfb8af4769,work,已有,
小毛驴.txt,小毛驴,,c619a16a-8999-4e06-ba60-5e36af0164ba,work,已有,
小燕子.txt,小燕子,,d964c98e-9caf-42cb-8020-7e8035128596,work,已有,
小白船.txt,小白船,,968974c4-a003-4b0c-b59e-f77c2091ab76,work,已有,
小红帽.txt,小红帽,,a099c3db-18e0-4f19-831b-69f7867609b2,work,已有,
小草.txt,小草,杨烁,fd8db6a4-86ca-495b-91ff-93b219edfc97,work,已有,
小螺号.txt,小螺号,,80b44d27-f90d-42f3-a186-122d32044d84,work,已有,
小螺号（少儿歌曲）.txt,小螺号（少儿歌曲）,程琳,,work,,
弟子规.txt,弟子规,金帆合唱团,,work,,
悯农.txt,悯农,央银河少年艺术团,,work,,
我们是共产主义接班人.txt,我们是共产主义接班人,,4fb5033a-a2e8-41fc-b602-64250c4130af,work,已有,
我们是春天.txt,我们是春天,少儿合唱,ee9fc8d6-2b30-4d1a-b40f-365ec97131f4,work,已有,
我是一个粉刷匠.txt,我是一个粉刷匠,,,work,,
我爱北京天安门.txt,我爱北京天安门,金铭与少儿,5dde3fbc-fd59-4484-8df5-5d0fa30f27a9,work,已有,
我的好妈妈.txt,我的好妈妈,,,work,,
找朋友.txt,找朋友,,079e200a-80c4-4e0d-8e02-b44bf42a3b51,work,已有,
拔萝卜.txt,拔萝卜,,6f4ef775-fae7-4715-a320-2f798890702f,work,已有,
摇篮曲.txt,摇篮曲,舒伯特,3d9d8415-631d-498e-8fed-84f3e1bff356,work,已有,
数鸭子.txt,数鸭子,,1a176fda-c649-4855-9498-4615c938afc1,work,已有,
新年好.txt,新年好,,9c9e8d36-98aa-45e6-b967-5aa0eed39fe6,work,已有,
明日歌.txt,明日歌,银河少年艺术团,3e73d409-55c9-4603-86a9-8ef63e7d2991,work,已有,
明月逐人归.txt,明月逐人归,贰婶,,work,,
春天在哪里.txt,春天在哪里,,,work,,
春晓.txt,春晓,戴梓伊,48550795-83e3-4b1a-b3ff-05000d9b8c24,work,已有,
晓窗.txt,晓窗,小海龟演唱组,,work,,
村居.txt,村居,小海龟演唱组,4da3ebcb-a3aa-4e12-9777-0c3d8c460aff,work,已有,
校园的早晨.txt,校园的早晨,王洁实,462617e1-3af0-43e7-b731-b36ac4dd9b19,work,已有,
格言联壁.txt,格言联壁,银河少年艺术团,,work,,
歌声与微笑.txt,歌声与微笑,,3d2f5853-2e12-4489-adc8-9d8cfa63b915,work,已有,
每当我走过老师窗前.txt,每当我走过老师窗前,,63afc6e7-959c-4299-a7cd-d6bfed57135d,work,已有,
江南.txt,江南,银河少年艺术团,0358fa61-f69d-4de0-a686-6c7649305ea5,work,已有,
洋娃娃和小熊跳舞.txt,洋娃娃和小熊跳舞,,2aa52e70-bf87-4633-b079-7f4034a9a8b2,work,已有,
清明.txt,清明,小海龟演唱组,96601a09-6de4-4551-8ba2-aeeced9cad39,work,已有,
游子吟.txt,游子吟,小海龟演唱组,66166b14-6875-4da6-8101-d608d4aacdbc,work,已有,
烟雨.txt,烟雨,小曲儿,,work,,
熊猫咪咪（少儿歌曲）.txt,熊猫咪咪（少儿歌曲）,程琳,,work,,
牧羊童.txt,牧羊童,,,work,,
生日歌.txt,生日歌,,d4edf0bf-800b-4531-b998-67244d141768,work,已有,
登鹳雀楼.txt,登鹳雀楼,小海龟演唱组,9058a86f-dbe4-44d1-80b9-b63fcd02444a,work,已有,
百家姓.txt,百家姓,小海龟演唱组,0c626ad2-be41-4170-8b92-de508ba068cc,work,已有,
相思.txt,相思,银河少年艺术团,8138c4f1-e901-4ce2-83df-10439c8aead0,work,已有,
祝你生日快乐.txt,祝你生日快乐,,09e2e1ec-dc2c-4832-86ba-0ad11509fb8b,work,已有,
秋千（少儿歌曲）.txt,秋千（少儿歌曲）,程琳,,work,,
童年的小摇车（少儿歌曲）.txt,童年的小摇车（少儿歌曲）,程琳,,work,,
童年（少儿歌曲.txt,童年（少儿歌曲,张艾嘉,,work,,
红星歌.txt,红星歌,传唱红星歌,e1a7ba21-5aa7-4d1f-a1e1-94ad844db4bc,work,已有,
红领巾之歌.txt,红领巾之歌,,7b81221f-d05a-46e9-a72f-7b933d004e61,work,已有,
红鼻子驯鹿鲁道夫.txt,红鼻子驯鹿鲁道夫,,,work,,
蜗牛与黄鹂鸟.txt,蜗牛与黄鹂鸟,,056f6290-7de0-4eff-9d12-069abaa54621,work,已有,
让我们荡起双桨.txt,让我们荡起双桨,少儿,c643a0e1-a169-4844-9727-27d9ebf61ade,work,已有,
论语.txt,论语,小海龟演唱组,,work,,
读唐诗.txt,读唐诗,金帆合唱团,11708522-ece9-4c8d-a0f6-a537dfc82eab,work,已有,
谷建芬新学堂儿歌系列：千字文.txt,谷建芬新学堂儿歌系列：千字文,演唱,,work,,
谷建芬新学堂儿歌系列：长相思.txt,谷建芬新学堂儿歌系列：长相思,银河少年艺术团,,work,,
赋得古原草送别.txt,赋得古原草送别,小海龟演唱组,,work,,
路灯下的小姑娘.txt,路灯下的小姑娘,邓洁仪,87881a06-23d2-4db9-99dc-f4016d95c6bf,work,已有,
道德经.txt,道德经,小海龟演唱组,b4327c63-49d2-4ddd-83cc-661e2a378341,work,已有,
采蘑菇的小姑娘.txt,采蘑菇的小姑娘,,66fecdf4-7c94-4dc4-8517-603bdd08c75e,work,已有,
铃儿响叮当.txt,铃儿响叮当,,c1422d20-ddef-4568-b9d3-a6be1f74284d,work,已有,
长歌行.txt,长歌行,银河少年艺术团,,work,,
静夜思.txt,静夜思,小海龟演唱组,425a1f0b-038b-44e6-9fa3-2e2d2b7769d4,work,已有,
马兰谣.txt,马兰谣,,fbdf24e2-97a2-4aff-ab4c-e08cdad950c3,work,已有,
鲁冰花.txt,鲁冰花,歌颂母爱的经典,8cfd30f3-a4b2-4379-950e-687a53620067,work,已有,
