song,status,info
一字诗,skip,
一闪一闪亮晶晶,skip,
七步诗,skip,
七色光之歌,skip,
三字经,skip,
三字经,skip,
上学歌,skip,
九儿,skip,
乡间的小路,skip,
儿歌,skip,
儿歌,skip,
元日,skip,
兰花草,skip,
出塞,skip,
别看我只是只羊,skip,
卖报歌,skip,
叶儿船,skip,
听妈妈讲那过去的事情,skip,
咏鹅,skip,
嘀哩嘀哩,skip,
增广贤文,skip,
声律启蒙,skip,
外婆的澎湖湾,skip,
多情的月光,skip,
大风车,skip,
女儿歌,skip,
妈妈的吻,skip,
学习雷锋好榜样,skip,
宝贝宝贝,skip,
寻胡隐君,skip,
小儿语,skip,
小兔子乖乖,skip,
小小少年,skip,
小小雨点,skip,
小星星,skip,
小毛驴,skip,
小燕子,skip,
小白船,skip,
小红帽,skip,
小草,skip,
小螺号,skip,
小螺号（少儿歌曲）,skip,
弟子规,skip,
悯农,skip,
我们是共产主义接班人,skip,
我们是春天,skip,
我是一个粉刷匠,skip,
我爱北京天安门,skip,
我的好妈妈,skip,
找朋友,skip,
拔萝卜,skip,
摇篮曲,skip,
数鸭子,skip,
新年好,skip,
明日歌,skip,
明月逐人归,skip,
春天在哪里,skip,
春晓,skip,
晓窗,skip,
村居,skip,
校园的早晨,skip,
格言联壁,skip,
歌声与微笑,skip,
歌声与微笑,skip,
每当我走过老师窗前,skip,
每当我走过老师窗前,skip,
江南,skip,
洋娃娃和小熊跳舞,skip,
清明,skip,
游子吟,skip,
烟雨,ok,"images=1, MBID=缺, conf=-, key=?, time=4/4 [MBID 为空: 进 parse_scores.py 前必须补]"
熊猫咪咪（少儿歌曲）,skip,
牧羊童,skip,
生日歌,skip,
登鹳雀楼,skip,
百家姓,skip,
相思,skip,
祝你生日快乐,skip,
秋千（少儿歌曲）,skip,
童年的小摇车（少儿歌曲）,ok,"images=1, MBID=缺, conf=-, key=?, time=4/4 [MBID 为空: 进 parse_scores.py 前必须补]"
童年（少儿歌曲,skip,
红星歌,skip,
红领巾之歌,skip,
红鼻子驯鹿鲁道夫,skip,
蜗牛与黄鹂鸟,skip,
让我们荡起双桨,skip,
论语,skip,
读唐诗,skip,
谷建芬新学堂儿歌系列：千字文,skip,
谷建芬新学堂儿歌系列：长相思,skip,
赋得古原草送别,skip,
路灯下的小姑娘,skip,
道德经,skip,
采蘑菇的小姑娘,skip,
铃儿响叮当,skip,
长歌行,skip,
静夜思,skip,
马兰谣,skip,
马兰谣,skip,
鲁冰花,skip,
