song,title,artist,mbid,type,confidence,matched
上海人.txt,上海人,朱国鑫词曲,,work,,
中秋情.txt,中秋情,邹希梅,,work,,
八角树.txt,八角树,马晓宏,,work,,
太湖水.txt,太湖水,蒋立德,,work,,
学厨艺.txt,学厨艺,朱国鑫词曲,,work,,
学工歌.txt,学工歌,朱国鑫词曲,,work,,
学电脑.txt,学电脑,朱国鑫词曲,,work,,
宜昌队.txt,宜昌队,蒋蒋,,work,,
寄明月.txt,寄明月,SING女团,cb4cfd91-8872-4b36-935a-aed440db75ac,work,已有,
小上海.txt,小上海,朱国鑫词曲,,work,,
小重山.txt,小重山,winky诗 云之泣,,work,,
少年游.txt,少年游,孙艺桐,2e5702a8-3933-4b4e-8c19-0a496b612cd7,work,已有,
当兵乐.txt,当兵乐,杨会林,,work,,
忘情酒.txt,忘情酒,戴尚辉,9efb6647-b28a-41d0-a926-28328bf09677,work,已有,
意难平.txt,意难平,银临,c1610610-e0b2-410b-ae87-6d4ee760010b,work,mbid-file,
我的梦.txt,我的梦,张靓颖,6871714c-8d39-4517-80c0-81b23abab774,work,已有,
推车歌.txt,推车歌,焦阳,,work,,
木叶情.txt,木叶情,杨文,,work,,
歌友情.txt,歌友情,,,work,,
步步高.txt,步步高,,d4b8cc47-0f07-4b07-9f69-89321f1a038c,work,已有,
男儿泉.txt,男儿泉,武书明,,work,,
胭脂妆.txt,胭脂妆,树屋女孩,,work,,
舀河浜.txt,舀河浜,朱国鑫词曲,,work,,
苍穹唤.txt,苍穹唤,林鹿儿,,work,,
苕乡情.txt,苕乡情,朱朝永 陈春阳,,work,,
苹果香.txt,苹果香,狼戈,e8e87147-31e9-4e6a-b6fe-d5566efb234d,work,已有,
菜园子.txt,菜园子,崔宸杰,,work,,
陆北大.txt,陆北大,朱国鑫词曲,,work,,
青原赋.txt,青原赋,李萍,,work,,
