song,title,artist,mbid,type,confidence,matched
一字诗.txt,一字诗,,,work,,
一闪一闪亮晶晶.txt,一闪一闪亮晶晶,,,work,,"[[""recording"", {""id"": ""ec1280fa-b043-4815-9aaa-e89b7884817a"", ""title"": ""一閃一閃亮晶晶"", ""artists"": [""Waa Wei""], ""score"": 100}], [""recording"", {""id"": ""13b2a959-decc-445a-a374-e4910f21908a"", ""title"": ""一閃一閃亮晶晶"", ""artists"": [""讚美之泉""], ""score"": 100}], [""recording"", {""id"": ""bfd8092e-f80a-4a1d-9253-07c58d0b91aa"", ""title"": ""一閃一閃亮晶晶 (創意教室)"", ""artists"": [""讚美之泉""], ""score"": 66}]]"
七步诗.txt,七步诗,,b0b07058-e04c-47dc-a748-4b65a100d9e7,recording,medium,"{""title"": ""七步诗"", ""artists"": [""刘欢""]}"
七色光之歌.txt,七色光之歌,,2eaa623e-8608-4dae-99fe-fcf67e93ecb5,recording,medium,"{""title"": ""七色光之歌"", ""artists"": [""新月合唱团""]}"
三字经.txt,三字经,,5c6935fe-f841-4445-8a9b-63b49f5b33ca,recording,medium,"{""title"": ""三字经"", ""artists"": [""朝简"", ""窦唯""]}"
上学歌.txt,上学歌,,e97940b2-599e-4c92-acfd-f9fa80cb254f,recording,medium,"{""title"": ""上学歌"", ""artists"": [""蔡闰羽""]}"
九儿.txt,九儿,,50400fc8-c893-4a71-b4c8-c6076fd2cadf,recording,medium,"{""title"": ""九儿"", ""artists"": [""萨顶顶""]}"
乡间的小路.txt,乡间的小路,,4c2c85e7-b7a1-49ac-87a1-645f081f748e,work,medium,"{""title"": ""鄉間的小路"", ""artists"": []}"
儿歌.txt,儿歌,,b67c82be-8a36-4aca-b8b6-ac79636dd5f3,work,medium,"{""title"": ""兒歌"", ""artists"": []}"
元日.txt,元日,,0b9ec2fb-a00d-410f-9b9a-d9e3bf460c14,recording,medium,"{""title"": ""元日"", ""artists"": [""岩田恭明""]}"
兰花草.txt,兰花草,,bbe83163-ffdd-49dc-bb76-667f2f779f30,work,medium,"{""title"": ""蘭花草"", ""artists"": []}"
出塞.txt,出塞,,addc6e0a-70ba-48a1-aa13-5dc1df7900a0,work,medium,"{""title"": ""出塞曲"", ""artists"": []}"
别看我只是只羊.txt,别看我只是只羊,,,work,,
卖报歌.txt,卖报歌,,5bf98c64-bd4c-48a4-a7a8-55d8ad833b6f,recording,medium,"{""title"": ""卖报歌"", ""artists"": [""蔡闰羽""]}"
叶儿船.txt,叶儿船,,,work,,
听妈妈讲那过去的事情.txt,听妈妈讲那过去的事情,,60b85a87-7b72-48d6-a363-ec640a31a6e7,work,medium,"{""title"": ""听妈妈讲那过去的事情"", ""artists"": []}"
咏鹅.txt,咏鹅,,,work,,
