song,title,artist,mbid,type,confidence,matched
一念暖阳.txt,一念暖阳,,,work,,
云台蝴蝶.txt,云台蝴蝶,,,work,,
人间共鸣.txt,人间共鸣,,3078d9e6-aca9-4548-8451-f3d930599ad0,work,medium,"{""title"": ""人间共鸣"", ""artists"": []}"
今天真好.txt,今天真好,,,work,,
今生不再.txt,今生不再,,3122b207-a3e3-4f69-b07d-c817e9e7b27b,recording,medium,"{""title"": ""今生不再"", ""artists"": [""黎明""]}"
和平鸽哨.txt,和平鸽哨,,,work,,
回家过年.txt,回家过年,,,work,,
大美乡村.txt,大美乡村,,,work,,
天峰山情.txt,天峰山情,,,work,,
太行之歌.txt,太行之歌,,,work,,
学校之歌.txt,学校之歌,,,work,,
宾至房山.txt,宾至房山,,,work,,
对月思乡.txt,对月思乡,,,work,,
小小的暖.txt,小小的暖,,,work,,
尖兵战歌.txt,尖兵战歌,,,work,,
思绪飞扬.txt,思绪飞扬,,,work,,
我的老师.txt,我的老师,,,work,,"[[""recording"", {""id"": ""8fe54eb8-a224-4fff-8aa0-f9335a74a833"", ""title"": ""“My teacher used to tell me...” / “我的老师告诉我”"", ""artists"": [""王劲梅""], ""score"": 100}], [""recording"", {""id"": ""5cb7fe0a-7b07-4c40-8d67-e0c07c014b48"", ""title"": ""他像我的老师一样骄傲 (He’s As Proud As My Teacher)"", ""artists"": [""海朋森""], ""score"": 100}]]"
新年祝福.txt,新年祝福,,,work,,
有缘的人.txt,有缘的人,,,work,,
梦中女神.txt,梦中女神,,,work,,
激情岁月.txt,激情岁月,,,work,,
目瑙纵歌.txt,目瑙纵歌,,,work,,
童年的家.txt,童年的家,,,work,,
腊梅花开.txt,腊梅花开,,,work,,
被你感动.txt,被你感动,,,work,,
铁血战歌.txt,铁血战歌,,,work,,
阳光校园.txt,阳光校园,,,work,,
青春之火.txt,青春之火,,,work,,
